product_id,text,rate,count,label
1,"Review 1 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",2.9,120,negative
1,"Review 2 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",3.4,120,negative
1,"Review 3 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",3.9,120,positive
1,"Review 4 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",4.4,120,positive
1,"Review 5 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",4.9,120,positive
1,"Review 6 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",2.9,120,negative
1,"Review 7 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",3.4,120,negative
1,"Review 8 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",3.9,120,positive
1,"Review 9 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",4.4,120,positive
1,"Review 10 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",4.9,120,positive
1,"Review 11 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",2.9,120,negative
1,"Review 12 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",3.4,120,negative
1,"Review 13 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",3.9,120,positive
1,"Review 14 for Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops: Your perfect pack for everyday use and walks in the forest. Stash your laptop (up to 15 inches) in the padded sleeve, your everyday",4.4,120,positive
